method,param,avg_cost,avg_time,avg_memory_kb
brute,,0.0,0.029907751083374023,86.0150390625
hill,,0.0,0.030136537551879884,84.605859375
tabu,3,0.0,0.26776776313781736,84.738671875
tabu,5,0.0,0.2678652286529541,84.738671875
tabu,7,0.0,0.27021236419677735,84.7533203125
